schema_name,table_name,field_name,field_type
tmp_data_dm,general_phone_attribution_0709_sample_nik2_hiv,professional_id,int
tmp_data_dm,yw_aqs_lpv,lpv_page_type,string
tmp_data_dm,coe_churn_by_cohort_o   ld_way,tenure_mid_num,int
dm,internal_attribution_value_v2,event_date,string
tmp_data_dm,np_201812_message8xxnew_v5,specialty_id,int
rev,raw_ad_events_fix_page_identity,click_timestamp,timestamp
dm,hist_mrr_subscription_daily_all_products,refund_current_month_flag,string
tmp_data_dm,lead_score_v2_daily_pt12,goodreview_score,bigint
tmp_data_dm,coe_t_traffic_contacts_datasource_hist_2016,weekofyear,int
rev,sf_account_bug_031919,etl_load_date,string
dm,daily_phone_call,speciality_id,int
rev,order_line_refund_fact_sku,order_line_number,int
tmp_data_dm,lead_score_v2_daily_pt12,stu_2,tinyint
tmp_data_dm,kb_deferred_revenue_output_fy17_plus_network,ad_type,string
rev,hist_mi_ad_market_detail_20161201,ad_market_id,int
tmp_data_dm,coe_deferred_revenue_dataset_2016_08,latest_month_with_data,int
tmp_data_dm,contacts_phone_day_dec18_dec19,contacts_update,double
rev,adwords_keyword_performance_network_after,external_cost,"decimal(10,2)"
dm,market_intelligence_detail,da_revenue,"decimal(30,2)"
rev,hist_mi_market_county_psp_20160713,claim_rate,double
src,weblog_blocked,page_type,string
aa,as_mkt_traffic_contacts_datasource_hist_backup,da_ad_clicks,bigint
rev,mrr_customer_category_all_products_0708,revenue_current_total,"decimal(20,2)"
pl,channel_identity_taxonomy,channel_class,string
rev,professional_personinfo_path1_sf_delta_20200128,email_2__c,string
dm,hist_mrr_customer_category_all_products,promo_flag,string
tmp_data_dm,yan_tm_amm_mv,professional_id,int
rev,chase_external_feed_20180817,record_number,int
dm,hist_claimed_professional_path1_sf,professional_address_state_name_1,string
tmp_data_dm,rays2_contactsweb4_djf,location_id,int
tmp_data_dm,prof_high_intent_june19,dibt_guide_details,bigint
rev,total_impressions_pr,max_3_month_target,int
tmp_data_dm,traffic_session_non_misc_201907_kam_all,delivered_imp,bigint
rev,billing_report_purchase20190221,customer_id,int
dm,tomahawk,da_clicks_sem_month_1,int
tmp_data_dm,promo_adv_final_2,block_inventory,int
tmp_data_dm,market_intelligence,county,string
rev,contact_event_metrics_monthly,phone_calls_at_least_2_mins,int
dm,tps_report,region,string
tmp_data_dm,yan_tm_pacv_traffic,impressions,bigint
tmp_data_dm,katherine_deferred_revenue_dataset_201802,ad_mkt_key,int
dm,lawyer_cube_data_by_day_backup,questions_answered_prior_month,bigint
tmp_data_dm,coe_chan_tcedw,old_channel_category,string
tmp_data_dm,call_att_sid_updates4_j_2020,ad_type,string
rev,historical_professional_dimension_20200307,source_system_begin_date,string
src,temp_adwords_report_v2,campaign,string
tmp_data_dm,delivered_sold_impressions_prof_level_till_june2020,total_delivered_impressions,bigint
rev,mi_market_county_psp_20170921,county_state_psp,string
rev,adwords_keyword_performance_pbx_20170718,internal_clicks_value,string
pl,mrr_category_monthly,mrr_current_adplacement,"decimal(30,2)"
aa,mkt_t_attributed_value,lpv_page_type,string
tmp_data_dm,as_twilio_timestamped_calls_nov18_dec18,gmttime,bigint
tmp_data_dm,coe_t_history_all_w_2016_orig_plus_pageviews,da_ad_clicks,bigint
rev,np_201812_message10x_v2,delta_timestamp_rnk_lid,int
tmp_data_dm,data_4893_v2_pt20,business,tinyint
rev,mrr_subscription_all_products_20180837,block_conversion_date,string
tmp_data_dm,lead_score_v2_daily_pt4,professional_id,int
tmp_data_dm,katherine_services_event_detail_as_of_20180104,trust_account_balance,double
rev,impressions_forecast_20180819,ad_running_days,int
rev,raw_ad_events_20190618_bkp,ad_request_referrer,string
tmp_data_dm,churn_customer_market_month,impression_percentage_delivered_3,"decimal(10,2)"
tmp_data_dm,yan_tm_pacv_sep,conv,double
tmp_data_dm,coe_deferred_revenue_dataset_2017_03,ad_type,string
rev,mi_ad_market_detail_20160713,parent_sp,string
tmp_data_dm,uat_sf_testing,num_of_active_subscriptions__c,int
aa,mkt_t_marketing_heartbeat,state,string
rev,services_session_detail,professional_id,int
rev,cost_pre_lead_20191016,etl_load_date,string
dm,webanalytics_display_ad_impression_forecast,delivered_attribution_value,double
tmp_data_dm,messages_contacts_djune_2020,contacts,bigint
tmp_data_dm,seek_criminal_defense,professional_id,int
